asof,ticker,smirk,otm_call_oi,otm_call_oi_d5
2026-08-06,WHWK,,6.0,
2026-08-06,WLDN,0.23437265625,0.0,
2026-08-06,WMS,0.2187478125,0.0,
2026-08-06,WPM,0.4687453125,0.0,
2026-08-06,WRBY,0.37499625000000003,0.0,
2026-08-06,WSC,0.187498125,0.0,
2026-08-06,XENE,0.23437265625,0.0,
2026-08-06,XERS,,0.0,
2026-08-06,XMAX,,0.0,
2026-08-06,XPOF,0.37499625000000003,0.0,
2026-08-06,XRAY,0.37499625000000003,0.0,
2026-08-06,XXI,,0.0,
2026-08-06,YELP,0.23437265625,0.0,
2026-08-06,ZD,0.187498125,0.0,
2026-08-06,ZLAB,0.12499874999999999,0.0,
2026-08-06,ZTS,0.23437265625,0.0,
2026-08-06,ZYME,0.187498125,0.0,
